4 1 429
S_0 V_0 A T S
0 0 0 1 0.0
0 0 0 2 0.0
0 0 0 3 0.0
0 0 0 4 0.0
0 0 0 5 0.0
0 0 0 6 0.0
0 0 0 7 0.0
0 0 0 8 0.0
0 0 0 9 0.0
0 0 1 1 0.5
0 0 1 2 2.0
0 0 1 3 4.5
0 0 1 4 8.0
0 0 1 5 12.5
0 0 1 6 18.0
0 0 1 7 24.5
0 0 1 8 32.0
0 0 1 9 40.5
0 0 2 1 1.0
0 0 2 2 4.0
0 0 2 3 9.0
0 0 2 4 16.0
0 0 2 5 25.0
0 0 2 6 36.0
0 0 2 7 49.0
0 0 2 8 64.0
0 0 2 9 81.0
0 0 3 1 1.5
0 0 3 2 6.0
0 0 3 3 13.5
0 0 3 4 24.0
0 0 3 5 37.5
0 0 3 6 54.0
0 0 3 7 73.5
0 0 3 8 96.0
0 0 3 9 121.5
0 0 4 1 2.0
0 0 4 2 8.0
0 0 4 3 18.0
0 0 4 4 32.0
0 0 4 5 50.0
0 0 4 6 72.0
0 0 4 7 98.0
0 0 4 8 128.0
0 0 4 9 162.0
0 1 0 1 1.0
0 1 0 2 2.0
0 1 0 3 3.0
0 1 0 4 4.0
0 1 0 5 5.0
0 1 0 6 6.0
0 1 0 7 7.0
0 1 0 8 8.0
0 1 0 9 9.0
0 1 1 1 1.5
0 1 1 2 4.0
0 1 1 3 7.5
0 1 1 4 12.0
0 1 1 5 17.5
0 1 1 6 24.0
0 1 1 7 31.5
0 1 1 8 40.0
0 1 1 9 49.5
0 1 2 1 2.0
0 1 2 2 6.0
0 1 2 3 12.0
0 1 2 4 20.0
0 1 2 5 30.0
0 1 2 6 42.0
0 1 2 7 56.0
0 1 2 8 72.0
0 1 2 9 90.0
0 1 3 1 2.5
0 1 3 2 8.0
0 1 3 3 16.5
0 1 3 4 28.0
0 1 3 5 42.5
0 1 3 6 60.0
0 1 3 7 80.5
0 1 3 8 104.0
0 1 3 9 130.5
0 1 4 1 3.0
0 1 4 2 10.0
0 1 4 3 21.0
0 1 4 4 36.0
0 1 4 5 55.0
0 1 4 6 78.0
0 1 4 7 105.0
0 1 4 8 136.0
0 1 4 9 171.0
0 2 0 1 2.0
0 2 0 2 4.0
0 2 0 3 6.0
0 2 0 4 8.0
0 2 0 5 10.0
0 2 0 6 12.0
0 2 0 7 14.0
0 2 0 8 16.0
0 2 0 9 18.0
0 2 1 1 2.5
0 2 1 2 6.0
0 2 1 3 10.5
0 2 1 4 16.0
0 2 1 5 22.5
0 2 1 6 30.0
0 2 1 7 38.5
0 2 1 8 48.0
0 2 1 9 58.5
0 2 2 1 3.0
0 2 2 2 8.0
0 2 2 3 15.0
0 2 2 4 24.0
0 2 2 5 35.0
0 2 2 6 48.0
0 2 2 7 63.0
0 2 2 8 80.0
0 2 2 9 99.0
0 2 3 1 3.5
0 2 3 2 10.0
0 2 3 3 19.5
0 2 3 4 32.0
0 2 3 5 47.5
0 2 3 6 66.0
0 2 3 7 87.5
0 2 3 8 112.0
0 2 3 9 139.5
0 2 4 1 4.0
0 2 4 2 12.0
0 2 4 3 24.0
0 2 4 4 40.0
0 2 4 5 60.0
0 2 4 6 84.0
0 2 4 7 112.0
0 2 4 8 144.0
0 2 4 9 180.0
0 3 0 1 3.0
0 3 0 2 6.0
0 3 0 3 9.0
0 3 0 4 12.0
0 3 0 5 15.0
0 3 0 6 18.0
0 3 0 7 21.0
0 3 0 8 24.0
0 3 0 9 27.0
0 3 1 1 3.5
0 3 1 2 8.0
0 3 1 3 13.5
0 3 1 4 20.0
0 3 1 5 27.5
0 3 1 6 36.0
0 3 1 7 45.5
0 3 1 8 56.0
0 3 1 9 67.5
0 3 2 1 4.0
0 3 2 2 10.0
0 3 2 3 18.0
0 3 2 4 28.0
0 3 2 5 40.0
0 3 2 6 54.0
0 3 2 7 70.0
0 3 2 8 88.0
0 3 2 9 108.0
0 3 3 1 4.5
0 3 3 2 12.0
0 3 3 3 22.5
0 3 3 4 36.0
0 3 3 5 52.5
0 3 3 6 72.0
0 3 3 7 94.5
0 3 3 8 120.0
0 3 3 9 148.5
0 3 4 1 5.0
0 3 4 2 14.0
0 3 4 3 27.0
0 3 4 4 44.0
0 3 4 5 65.0
0 3 4 6 90.0
0 3 4 7 119.0
0 3 4 8 152.0
0 3 4 9 189.0
1 0 0 1 1.0
1 0 0 2 1.0
1 0 0 3 1.0
1 0 0 4 1.0
1 0 0 5 1.0
1 0 0 6 1.0
1 0 0 7 1.0
1 0 0 8 1.0
1 0 0 9 1.0
1 0 1 1 1.5
1 0 1 2 3.0
1 0 1 3 5.5
1 0 1 4 9.0
1 0 1 5 13.5
1 0 1 6 19.0
1 0 1 7 25.5
1 0 1 8 33.0
1 0 1 9 41.5
1 0 2 1 2.0
1 0 2 2 5.0
1 0 2 3 10.0
1 0 2 4 17.0
1 0 2 5 26.0
1 0 2 6 37.0
1 0 2 7 50.0
1 0 2 8 65.0
1 0 2 9 82.0
1 0 3 1 2.5
1 0 3 2 7.0
1 0 3 3 14.5
1 0 3 4 25.0
1 0 3 5 38.5
1 0 3 6 55.0
1 0 3 7 74.5
1 0 3 8 97.0
1 0 3 9 122.5
1 0 4 1 3.0
1 0 4 2 9.0
1 0 4 3 19.0
1 0 4 4 33.0
1 0 4 5 51.0
1 0 4 6 73.0
1 0 4 7 99.0
1 0 4 8 129.0
1 0 4 9 163.0
1 1 0 1 2.0
1 1 0 2 3.0
1 1 0 3 4.0
1 1 0 4 5.0
1 1 0 5 6.0
1 1 0 6 7.0
1 1 0 7 8.0
1 1 0 8 9.0
1 1 0 9 10.0
1 1 1 1 2.5
1 1 1 2 5.0
1 1 1 3 8.5
1 1 1 4 13.0
1 1 1 5 18.5
1 1 1 6 25.0
1 1 1 7 32.5
1 1 1 8 41.0
1 1 1 9 50.5
1 1 2 1 3.0
1 1 2 2 7.0
1 1 2 3 13.0
1 1 2 4 21.0
1 1 2 5 31.0
1 1 2 6 43.0
1 1 2 7 57.0
1 1 2 8 73.0
1 1 2 9 91.0
1 1 3 1 3.5
1 1 3 2 9.0
1 1 3 3 17.5
1 1 3 4 29.0
1 1 3 5 43.5
1 1 3 6 61.0
1 1 3 7 81.5
1 1 3 8 105.0
1 1 3 9 131.5
1 1 4 1 4.0
1 1 4 2 11.0
1 1 4 3 22.0
1 1 4 4 37.0
1 1 4 5 56.0
1 1 4 6 79.0
1 1 4 7 106.0
1 1 4 8 137.0
1 1 4 9 172.0
1 2 0 1 3.0
1 2 0 2 5.0
1 2 0 3 7.0
1 2 0 4 9.0
1 2 0 5 11.0
1 2 0 6 13.0
1 2 0 7 15.0
1 2 0 8 17.0
1 2 0 9 19.0
1 2 1 1 3.5
1 2 1 2 7.0
1 2 1 3 11.5
1 2 1 4 17.0
1 2 1 5 23.5
1 2 1 6 31.0
1 2 1 7 39.5
1 2 1 8 49.0
1 2 1 9 59.5
1 2 2 1 4.0
1 2 2 2 9.0
1 2 2 3 16.0
1 2 2 4 25.0
1 2 2 5 36.0
1 2 2 6 49.0
1 2 2 7 64.0
1 2 2 8 81.0
1 2 2 9 100.0
1 2 3 1 4.5
1 2 3 2 11.0
1 2 3 3 20.5
1 2 3 4 33.0
1 2 3 5 48.5
1 2 3 6 67.0
1 2 3 7 88.5
1 2 3 8 113.0
1 2 3 9 140.5
1 2 4 1 5.0
1 2 4 2 13.0
1 2 4 3 25.0
1 2 4 4 41.0
1 2 4 5 61.0
1 2 4 6 85.0
1 2 4 7 113.0
1 2 4 8 145.0
1 2 4 9 181.0
1 3 0 1 4.0
1 3 0 2 7.0
1 3 0 3 10.0
1 3 0 4 13.0
1 3 0 5 16.0
1 3 0 6 19.0
1 3 0 7 22.0
1 3 0 8 25.0
1 3 0 9 28.0
1 3 1 1 4.5
1 3 1 2 9.0
1 3 1 3 14.5
1 3 1 4 21.0
1 3 1 5 28.5
1 3 1 6 37.0
1 3 1 7 46.5
1 3 1 8 57.0
1 3 1 9 68.5
1 3 2 1 5.0
1 3 2 2 11.0
1 3 2 3 19.0
1 3 2 4 29.0
1 3 2 5 41.0
1 3 2 6 55.0
1 3 2 7 71.0
1 3 2 8 89.0
1 3 2 9 109.0
